customer_state,customer_city,total_orders,total_customers,total_product_revenue,total_freight,total_order_value,avg_order_value
TO,palmas,90,89,17821.1,3969.27,21790.37,242.11522222222223
RS,gravatai,112,108,19110.02,2609.34,21719.36,193.92285714285714
RJ,angra dos reis,85,82,18893.04,2761.69,21654.73,254.7615294117647
SP,jacarei,193,188,18479.13,2966.16,21445.29,111.11549222797927
PA,ananindeua,88,85,18075.24,3161.61,21236.85,241.3278409090909
SP,itapevi,170,169,18348.91,2802.5,21151.41,124.42005882352942
ES,cariacica,138,135,17574.58,3019.17,20593.75,149.23007246376812
RJ,teresopolis,119,114,17115.29,3151.07,20266.36,170.3055462184874
MG,sete lagoas,127,122,17308.35,2930.97,20239.32,159.36472440944883
GO,anapolis,112,109,17179.78,2917.73,20097.51,179.44205357142857
RJ,cabo frio,116,115,17182.67,2895.55,20078.22,173.08810344827586
MG,pocos de caldas,119,114,17190.35,2825.68,20016.03,168.20193277310923
BA,vitoria da conquista,90,89,16497.2,3052.73,19549.93,217.22144444444444
SP,aracatuba,139,134,16733.59,2723.49,19457.08,139.97899280575538
RS,rio grande,124,121,16516.78,2933.71,19450.49,156.85879032258063
SC,balneario camboriu,100,98,16958.38,2450.52,19408.9,194.089
MG,patos de minas,100,97,16791.97,2555.01,19346.98,193.4698
RJ,araruama,77,75,17199.19,1996.86,19196.05,249.29935064935066
ES,cachoeiro de itapemirim,121,117,15871.63,3299.79,19171.42,158.44148760330577
SP,botucatu,101,99,17179.5,1873.58,19053.08,188.64435643564357
SP,paulinia,129,124,16658.69,2132.15,18790.84,145.66542635658914
RJ,mage,111,106,16186.65,2575.9,18762.55,169.03198198198197
SP,hortolandia,145,143,16523.21,2225.36,18748.57,129.3004827586207
MG,vicosa,89,87,16401.25,2248.47,18649.72,209.54741573033706
RJ,marica,138,135,15670.96,2889.57,18560.53,134.49659420289856
RS,passo fundo,113,112,15223.21,2940.66,18163.87,160.74221238938054
SC,criciuma,92,92,15422.08,2390.15,17812.23,193.6111956521739
PR,sao jose dos pinhais,131,126,15124.05,2639.39,17763.44,135.5987786259542
SC,chapeco,103,99,15322.25,2428.5,17750.75,172.3373786407767
SP,ferraz de vasconcelos,111,107,15768.28,1867.5,17635.78,158.8809009009009
GO,aparecida de goiania,110,104,14554.46,2437.78,16992.24,154.47490909090908
PE,petrolina,65,65,14313.0,2635.97,16948.97,260.7533846153846
AC,rio branco,70,66,13904.32,3013.23,16917.55,241.67928571428573
SP,birigui,78,75,14611.34,2015.49,16626.83,213.16448717948717
SP,guaratingueta,96,95,14751.12,1842.08,16593.2,172.84583333333333
RJ,belford roxo,111,109,13932.95,2619.37,16552.32,149.12
MG,itajuba,94,91,14115.6,2389.6,16505.2,175.58723404255318
RJ,resende,117,115,13545.25,2951.47,16496.72,140.99760683760684
MG,varginha,89,84,14223.0,2103.88,16326.88,183.44808988764044
RJ,nilopolis,107,105,13718.18,2399.5,16117.68,150.632523364486
PE,olinda,93,92,13149.78,2500.26,15650.04,168.28
SP,caraguatatuba,88,87,13536.86,1962.43,15499.29,176.12829545454545
SC,jaragua do sul,89,85,12966.56,2389.49,15356.05,172.53988764044945
MG,lavras,83,81,13297.75,2010.21,15307.96,184.4332530120482
SP,caieiras,100,97,13624.52,1579.6,15204.12,152.0412
SP,araras,94,89,13327.37,1859.88,15187.25,161.56648936170214
MG,araxa,76,76,13136.21,2010.8,15147.01,199.30276315789473
SP,santa barbara d'oeste,118,117,13072.08,1908.05,14980.13,126.95025423728814
MG,ribeirao das neves,99,94,12674.44,2213.17,14887.61,150.37989898989898
SP,pindamonhangaba,101,96,13070.16,1770.18,14840.34,146.9340594059406
SP,itu,135,132,12707.03,2011.05,14718.08,109.02281481481481
BA,porto seguro,40,37,12890.09,1474.33,14364.42,359.1105
ES,linhares,65,61,12211.41,2115.4,14326.81,220.41246153846154
MG,barbacena,80,74,12296.61,2025.09,14321.7,179.02125
SP,ourinhos,77,76,12543.03,1773.75,14316.78,185.9322077922078
MT,rondonopolis,65,60,12243.04,1862.59,14105.63,217.00969230769232
SP,itapetininga,77,76,12232.88,1815.57,14048.45,182.4474025974026
SP,mogi-guacu,91,87,12453.82,1518.51,13972.33,153.5420879120879
PR,foz do iguacu,87,85,11586.38,2316.29,13902.67,159.80080459770116
SP,assis,84,79,12199.23,1620.08,13819.31,164.51559523809524
AP,macapa,54,53,11451.92,2214.11,13666.03,253.07462962962964
SP,itatiba,97,94,12049.31,1584.7,13634.01,140.55680412371134
SC,lages,83,80,11281.11,2335.11,13616.22,164.050843373494
SP,sao joao da boa vista,81,75,11786.81,1821.37,13608.18,168.00222222222223
MG,santa luzia,91,90,11566.46,2009.23,13575.69,149.1834065934066
SC,palhoca,94,93,11440.12,2110.13,13550.25,144.15159574468086
CE,sobral,35,35,11368.84,1926.89,13295.73,379.878
RS,sao leopoldo,104,101,11064.67,2160.51,13225.18,127.16519230769231
SP,amparo,66,61,11751.58,1250.24,13001.82,196.99727272727273
BA,barreiras,52,51,11043.93,1901.83,12945.76,248.9569230769231
MG,itabira,79,79,10544.49,2197.37,12741.86,161.2893670886076
SP,tatui,73,72,11331.03,1401.31,12732.34,174.41561643835615
SP,varzea paulista,78,73,10780.18,1879.3,12659.48,162.30102564102563
MG,muriae,64,64,11015.42,1600.67,12616.09,197.12640625
PE,caruaru,64,64,9535.69,3043.54,12579.23,196.55046875
SP,itanhaem,79,77,10506.24,1831.88,12338.12,156.17873417721518
SP,votorantim,85,84,10901.22,1343.93,12245.15,144.06058823529412
SP,salto,94,92,10709.39,1476.93,12186.32,129.64170212765958
SC,tubarao,60,55,10606.13,1519.64,12125.77,202.09616666666668
MG,araguari,54,53,10869.52,1179.42,12048.94,223.12851851851852
ES,guarapari,67,64,10544.41,1476.73,12021.14,179.42
RS,santa cruz do sul,62,60,10360.88,1613.77,11974.65,193.13951612903224
SP,franco da rocha,109,104,10122.2,1771.13,11893.33,109.11311926605505
GO,rio verde,64,64,9450.0,2384.95,11834.95,184.92109375
SP,ribeirao pires,107,106,10149.63,1631.0,11780.63,110.09934579439252
SP,cacapava,74,72,10160.07,1592.58,11752.65,158.8195945945946
PR,toledo,70,69,10053.64,1635.02,11688.66,166.98085714285713
SC,gaspar,30,29,10643.04,990.57,11633.61,387.787
SP,cajamar,99,97,9873.27,1724.95,11598.22,117.15373737373737
SP,catanduva,75,71,10149.83,1280.46,11430.29,152.40386666666666
GO,jatai,54,54,10040.37,1297.57,11337.94,209.96185185185186
BA,lauro de freitas,75,73,8954.88,2315.7,11270.58,150.2744
MG,caratinga,62,61,9690.26,1521.19,11211.45,180.82983870967743
MG,conselheiro lafaiete,84,83,9434.37,1758.01,11192.38,133.24261904761906
BA,ilheus,72,72,8906.74,2111.32,11018.06,153.0286111111111
RS,cachoeirinha,72,68,9297.25,1678.09,10975.34,152.43527777777777
SP,sao roque,78,76,9602.33,1325.66,10927.99,140.1024358974359
RJ,mesquita,75,73,9132.02,1795.3,10927.32,145.6976
SP,barretos,73,72,9500.97,1359.67,10860.64,148.7758904109589
PR,paranagua,60,58,9244.45,1607.11,10851.56,180.85933333333332
SP,jau,73,71,9460.56,1386.96,10847.52,148.59616438356164
SP,poa,85,81,9343.45,1460.35,10803.8,127.10352941176471
RS,bage,63,62,9435.64,1356.26,10791.9,171.3
SP,francisco morato,98,92,9365.31,1416.0,10781.31,110.01336734693878
SP,vinhedo,94,93,9152.87,1565.96,10718.83,114.03010638297873
PR,pato branco,53,51,9047.64,1551.94,10599.58,199.99207547169812
MS,dourados,64,59,8907.7,1688.94,10596.64,165.5725
SP,bertioga,48,46,9520.55,1070.07,10590.62,220.63791666666665
SP,lins,55,54,9189.96,1209.77,10399.73,189.086
SP,mairipora,75,74,9087.38,1258.29,10345.67,137.94226666666665
SP,ubatuba,76,72,8900.83,1402.33,10303.16,135.5678947368421
SP,itapecerica da serra,98,97,8738.78,1507.07,10245.85,104.54948979591836
MG,paracatu,63,60,8430.41,1751.81,10182.22,161.6225396825397
SP,mogi mirim,76,71,9010.97,1167.08,10178.05,133.9217105263158
AL,arapiraca,29,28,8728.71,1421.32,10150.03,350.0010344827586
BA,itabuna,61,59,8523.72,1625.6,10149.32,166.38229508196721
PR,pinhais,67,67,8711.82,1435.02,10146.84,151.44537313432835
SP,sao sebastiao,59,58,8880.36,1252.05,10132.41,171.7357627118644
PR,guarapuava,64,63,8625.45,1492.18,10117.63,158.08796875
MG,manhuacu,64,64,8510.0,1556.6,10066.6,157.290625
RR,boa vista,45,44,7739.53,2153.4,9892.93,219.8428888888889
MG,sao joao del rei,67,66,8297.97,1592.02,9889.99,147.6117910447761
SP,pirassununga,69,67,8550.33,1315.9,9866.23,142.98884057971014
TO,araguaina,41,40,8203.54,1645.09,9848.63,240.21048780487806
SP,jaguariuna,61,61,8502.37,1295.98,9798.35,160.62868852459016
SP,votuporanga,63,61,8372.9,1367.29,9740.19,154.60619047619048
MG,lagoa santa,59,56,8400.97,1320.19,9721.16,164.76542372881357
SC,brusque,60,57,8421.55,1293.27,9714.82,161.91366666666667
SP,avare,63,62,8382.97,1330.5,9713.47,154.1820634920635
SP,jandira,84,78,8260.47,1397.84,9658.31,114.97988095238095
SC,videira,47,47,8107.6,1504.29,9611.89,204.50829787234042
MG,teofilo otoni,75,73,7744.23,1842.4,9586.63,127.82173333333333
BA,luis eduardo magalhaes,36,36,8343.87,1194.82,9538.69,264.9636111111111
SP,lorena,83,78,7965.02,1506.59,9471.61,114.11578313253013
RS,lajeado,50,47,8068.41,1371.97,9440.38,188.8076
RN,parnamirim,59,57,7518.67,1882.3,9400.97,159.33847457627118
MG,itauna,57,54,7942.95,1293.18,9236.13,162.03736842105263
PR,colombo,61,58,7531.9,1642.74,9174.64,150.4039344262295
SP,leme,50,48,8152.92,1004.09,9157.01,183.1402
MA,imperatriz,40,39,7171.38,1973.4,9144.78,228.6195
MG,nova serrana,51,51,7856.26,1271.24,9127.5,178.97058823529412
MG,timoteo,53,50,7783.77,1257.35,9041.12,170.58716981132076
BA,juazeiro,44,44,7677.28,1277.3,8954.58,203.5131818181818
PR,apucarana,52,50,7283.7,1527.2,8810.9,169.4403846153846
BA,camacari,61,59,7294.22,1505.65,8799.87,144.26016393442623
SP,aruja,69,66,7614.78,1107.4,8722.18,126.40840579710145
PR,francisco beltrao,52,50,7491.38,1147.71,8639.09,166.13634615384615
SP,itapira,54,52,7519.54,1085.48,8605.02,159.35222222222222
CE,juazeiro do norte,34,34,7034.78,1551.29,8586.07,252.5314705882353
PR,campo mourao,56,54,7259.52,1320.17,8579.69,153.20875
SP,boituva,49,47,7412.05,1144.83,8556.88,174.63020408163266
ES,colatina,65,63,6925.51,1627.21,8552.72,131.58030769230768
MS,tres lagoas,42,41,7431.32,1113.63,8544.95,203.45119047619048
MG,ibirite,50,48,7410.68,1126.04,8536.72,170.7344
SP,matao,52,52,7207.71,1242.06,8449.77,162.49557692307692
RJ,itaborai,60,57,7134.27,1297.94,8432.21,140.53683333333333
SP,fernandopolis,53,53,7445.06,964.15,8409.21,158.6643396226415
PR,paranavai,46,45,7228.95,1150.5,8379.45,182.16195652173914
RS,bento goncalves,55,53,6828.56,1530.79,8359.35,151.98818181818183
MG,ouro preto,56,55,6861.56,1455.16,8316.72,148.51285714285714
MG,joao monlevade,51,47,6959.85,1305.14,8264.99,162.0586274509804
RS,viamao,73,70,6655.1,1536.83,8191.93,112.2182191780822
SP,cubatao,79,76,6996.03,1175.39,8171.42,103.43569620253164
MT,varzea grande,41,40,7043.05,1120.05,8163.1,199.1
MG,patrocinio,46,45,6817.53,1290.67,8108.2,176.26521739130436
MG,ponte nova,40,38,7106.89,983.45,8090.34,202.2585
RJ,tres rios,39,37,7227.52,856.97,8084.49,207.29461538461538
RJ,itaperuna,47,45,6963.57,1117.97,8081.54,171.94765957446808
MG,unai,54,53,6825.39,1239.12,8064.51,149.34277777777777
MT,sinop,44,42,6474.65,1577.77,8052.42,183.00954545454545
SP,sertaozinho,62,61,6884.13,1119.64,8003.77,129.09306451612903
MG,para de minas,37,35,7162.08,832.51,7994.59,216.07
BA,eunapolis,38,37,6944.8,971.98,7916.78,208.33631578947367
RS,erechim,58,53,6478.28,1405.5,7883.78,135.92724137931035
SP,jaboticabal,54,52,6706.02,1168.51,7874.53,145.82462962962964
SP,peruibe,44,43,6681.02,1184.62,7865.64,178.76454545454544
MG,pirapora,42,40,6803.07,1039.09,7842.16,186.71809523809523
BA,paulo afonso,39,39,6492.59,1349.54,7842.13,201.0802564102564
BA,jacobina,24,23,7079.66,686.44,7766.1,323.5875
SP,cosmopolis,52,49,6747.8,1004.15,7751.95,149.07596153846154
MG,uba,53,51,6369.76,1364.24,7734.0,145.9245283018868
ES,sao mateus,47,43,6569.97,1109.66,7679.63,163.3963829787234
SP,andradina,43,41,6794.42,857.52,7651.94,177.95209302325583
SP,lencois paulista,43,43,6720.22,845.26,7565.48,175.9413953488372
RJ,itaguai,48,47,6417.74,1119.26,7537.0,157.02083333333334
RJ,paracambi,35,35,6571.96,944.27,7516.23,214.74942857142858
SC,navegantes,31,29,6783.17,717.68,7500.85,241.96290322580646
SP,tupa,52,52,6483.03,1007.91,7490.94,144.05653846153845
PR,arapongas,34,33,6617.96,861.94,7479.9,219.99705882352941
RS,esteio,41,41,6521.86,944.28,7466.14,182.1009756097561
SP,cruzeiro,56,54,6109.5,1349.27,7458.77,133.19232142857143
BA,alagoinhas,40,39,6249.23,1179.1,7428.33,185.70825
BA,valenca,35,32,6373.59,1032.83,7406.42,211.612
RJ,queimados,54,53,6156.75,1223.65,7380.4,136.67407407407407
RS,alvorada,50,50,6207.73,1160.89,7368.62,147.3724
SP,itapeva,52,51,6360.23,939.98,7300.21,140.38865384615386
PA,santarem,44,43,5387.66,1884.98,7272.64,165.28727272727272
SC,sao miguel do oeste,40,40,6155.72,1085.66,7241.38,181.0345
SC,concordia,50,49,5963.39,1276.79,7240.18,144.8036
SC,itapema,44,42,6109.87,1123.55,7233.42,164.3959090909091
RS,osorio,35,34,6251.24,974.51,7225.75,206.45
RS,cachoeira do sul,32,31,6288.32,935.09,7223.41,225.7315625
SP,registro,46,44,6288.47,897.91,7186.38,156.22565217391303
MG,vespasiano,43,42,6172.59,936.12,7108.71,165.31883720930233
SP,mococa,34,32,6295.97,812.59,7108.56,209.07529411764705
MT,primavera do leste,28,27,6232.81,860.1,7092.91,253.31821428571428
CE,caucaia,35,35,5856.66,1236.06,7092.72,202.64914285714286
PE,paulista,41,41,5736.77,1339.85,7076.62,172.60048780487804
SP,embu-guacu,46,45,6244.68,818.14,7062.82,153.5395652173913
MG,guaxupe,37,31,6081.17,885.83,6967.0,188.2972972972973
PR,rolandia,27,27,6061.03,894.87,6955.9,257.6259259259259
RS,ijui,52,50,5584.45,1285.71,6870.16,132.11846153846153
RS,sapucaia do sul,40,40,5683.84,1184.82,6868.66,171.7165
SP,artur nogueira,41,41,6029.68,815.62,6845.3,166.95853658536586
MG,ituiutaba,55,46,5547.87,1246.93,6794.8,123.54181818181819
MG,curvelo,43,41,5541.0,1193.37,6734.37,156.6132558139535
MT,lucas do rio verde,24,24,5807.76,820.05,6627.81,276.15875
MA,balsas,17,16,5274.43,1333.31,6607.74,388.6905882352941
PR,umuarama,40,39,5770.52,832.49,6603.01,165.07525
SP,olimpia,37,37,5862.54,737.89,6600.43,178.39
SP,vargem grande paulista,44,43,5833.55,762.39,6595.94,149.90772727272727
RJ,barra do pirai,54,51,5543.41,1050.49,6593.9,122.10925925925926
RS,santo angelo,46,43,5433.26,1145.37,6578.63,143.0136956521739
GO,itumbiara,36,36,5156.12,1414.57,6570.69,182.51916666666668
MG,alfenas,43,42,5350.32,1189.13,6539.45,152.08023255813953
RN,mossoro,36,35,4875.46,1644.02,6519.48,181.09666666666666
CE,maracanau,34,32,5342.73,1161.98,6504.71,191.315
SC,taio,15,14,5965.23,510.57,6475.8,431.72
GO,catalao,34,31,5454.03,986.87,6440.9,189.43823529411765
GO,valparaiso de goias,37,36,5437.85,986.66,6424.51,173.6354054054054
RJ,arraial do cabo,29,25,5237.89,1171.42,6409.31,221.01068965517243
PA,altamira,25,25,5168.15,1231.69,6399.84,255.9936
SP,mirassol,29,29,5850.89,532.44,6383.33,220.1148275862069
SP,itupeva,44,44,5355.51,967.71,6323.22,143.70954545454546
PR,araucaria,54,52,5086.1,1169.77,6255.87,115.84944444444444
SP,mongagua,42,41,5367.53,864.64,6232.17,148.385
GO,caldas novas,36,36,5301.63,902.94,6204.57,172.34916666666666
TO,gurupi,24,23,5229.29,962.89,6192.18,258.0075
SP,batatais,28,26,5574.8,583.41,6158.21,219.93607142857144
SP,adamantina,36,35,5425.97,728.12,6154.09,170.94694444444445
SP,bebedouro,51,50,4992.89,1147.62,6140.51,120.4021568627451
RS,guaiba,31,29,5417.51,721.62,6139.13,198.03645161290322
GO,formosa,34,34,5282.15,841.97,6124.12,180.12117647058824
SC,sao bento do sul,44,43,4869.9,1235.55,6105.45,138.76022727272726
RJ,santo antonio de padua,31,30,5330.88,734.09,6064.97,195.6441935483871
PR,uniao da vitoria,29,27,5081.93,955.82,6037.75,208.19827586206895
MG,arcos,25,24,5391.73,597.63,5989.36,239.5744
SP,sao jose do rio pardo,44,42,5106.24,864.81,5971.05,135.70568181818183
PA,tucurui,17,17,5096.7,835.05,5931.75,348.9264705882353
MT,campo novo do parecis,16,16,4970.79,944.99,5915.78,369.73625
MG,santa barbara,26,23,5118.21,771.76,5889.97,226.5373076923077
MG,itabirito,29,29,5078.13,808.22,5886.35,202.97758620689655
MG,pedro leopoldo,40,40,5057.01,818.04,5875.05,146.87625
SP,campo limpo paulista,48,47,5013.34,827.9,5841.24,121.6925
PR,mandaguari,18,17,5039.15,789.91,5829.06,323.83666666666664
BA,guanambi,37,37,4589.57,1211.49,5801.06,156.7854054054054
RJ,saquarema,46,39,4673.05,1115.44,5788.49,125.83673913043478
BA,jequie,34,34,4687.84,1079.03,5766.87,169.61382352941177
RJ,sao pedro da aldeia,46,44,4672.43,1040.54,5712.97,124.195
RS,uruguaiana,48,48,4653.96,1058.64,5712.6,119.0125
SC,rio do sul,35,33,4777.85,917.28,5695.13,162.718
PR,cianorte,39,37,4863.67,827.88,5691.55,145.9371794871795
MG,salinas,22,22,4986.77,704.39,5691.16,258.6890909090909
RJ,japeri,34,34,4458.27,1224.55,5682.82,167.14176470588237
MT,caceres,25,25,4750.19,918.37,5668.56,226.7424
PA,parauapebas,27,24,4092.06,1542.09,5634.15,208.67222222222222
RS,montenegro,32,31,4910.6,721.91,5632.51,176.0159375
RS,capao da canoa,38,38,4692.09,936.99,5629.08,148.13368421052633
MS,corumba,27,27,4700.17,926.91,5627.08,208.41037037037037
RJ,armacao dos buzios,29,27,4836.4,776.47,5612.87,193.54724137931035
GO,luziania,33,30,4761.46,847.05,5608.51,169.9548484848485
RS,santo antonio da patrulha,17,17,5100.08,503.04,5603.12,329.5952941176471
SP,louveira,44,42,4777.82,818.74,5596.56,127.19454545454545
MG,bom despacho,38,38,4680.53,874.07,5554.6,146.17368421052632
SP,penapolis,37,36,4776.58,772.68,5549.26,149.98
MG,sao sebastiao do paraiso,35,34,4800.05,709.66,5509.71,157.4202857142857
MG,tres coracoes,41,40,4493.83,982.39,5476.22,133.56634146341463
SC,cacador,40,40,4569.38,900.24,5469.62,136.7405
SP,tremembe,38,36,4876.03,586.67,5462.7,143.75526315789475
PR,telemaco borba,34,32,4693.49,764.72,5458.21,160.5355882352941
MT,juina,17,17,4695.32,721.81,5417.13,318.6547058823529
SP,santo antonio de posse,20,19,5027.89,365.33,5393.22,269.661
PE,garanhuns,31,25,4107.48,1260.86,5368.34,173.17225806451614
SP,piraju,18,17,4954.98,410.77,5365.75,298.09722222222223
SP,capivari,34,33,4753.16,610.21,5363.37,157.74617647058824
RJ,vassouras,37,35,4491.8,844.76,5336.56,144.23135135135135
MG,sabara,42,40,4481.78,852.58,5334.36,127.00857142857143
RS,alegrete,35,34,4483.77,812.47,5296.24,151.32114285714286
SC,canoinhas,27,27,4583.01,708.01,5291.02,195.96370370370371
